,0
1231,0
1232,0
1233,1
1234,0
1235,0
1236,1
1237,1
1238,1
1239,0
1240,0
1241,1
1242,0
1243,1
1244,1
1245,1
1246,1
1247,0
1248,1
1249,0
1250,0
1251,1
1252,0
1253,1
1254,1
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1261,0
1262,0
1263,0
1264,1
1265,1
1266,0
1267,1
1268,1
1269,0
1270,1
1271,0
1272,1
1273,1
1274,1
1275,0
1276,1
1277,0
1278,1
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,1
1287,0
1288,1
1289,1
1290,0
1291,0
1292,0
1293,1
1294,1
1295,0
1296,1
1297,0
1298,1
1299,1
1300,1
1301,0
1302,0
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,0
1310,1
1311,1
1312,1
1313,1
1314,0
1315,1
1316,0
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1324,1
1325,0
1326,0
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,0
1334,1
1335,1
1336,0
1337,0
1338,0
1339,1
1340,1
1341,0
1342,0
1343,0
1344,0
1345,1
1346,1
1347,0
1348,1
1349,0
1350,1
1351,1
1352,0
1353,0
1354,0
1355,1
1356,1
1357,1
1358,0
1359,1
1360,0
1361,1
1362,0
1363,0
1364,1
1365,1
1366,0
1367,1
1368,0
1369,0
1370,1
1371,1
1372,1
1373,1
1374,1
1375,0
1376,1
1377,0
1378,1
1379,0
1380,1
1381,0
1382,0
1383,1
1384,0
1385,0
1386,1
1387,1
1388,1
1389,0
1390,1
1391,0
1392,1
1393,0
1394,0
1395,1
1396,0
1397,0
1398,1
1399,0
1400,1
1401,0
1402,0
1403,1
1404,0
1405,1
1406,0
1407,1
1408,1
1409,0
1410,1
1411,1
1412,1
1413,0
1414,0
1415,1
1416,0
1417,1
1418,0
1419,1
1420,0
1421,1
1422,0
1423,1
1424,0
1425,1
1426,1
1427,1
1428,1
1429,1
1430,0
1431,1
1432,0
1433,1
1434,1
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,0
1442,1
1443,1
1444,0
1445,1
1446,0
1447,1
1448,1
1449,0
1450,1
1451,1
1452,0
1453,1
1454,0
1455,1
1456,0
1457,0
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1464,1
1465,1
1466,0
1467,0
1468,1
1469,0
1470,1
1471,0
1472,0
1473,0
1474,1
1475,0
1476,1
1477,1
1478,0
1479,1
1480,1
1481,1
1482,0
1483,0
1484,1
1485,1
1486,1
1487,0
1488,1
1489,0
1490,0
1491,1
1492,0
1493,1
1494,0
1495,0
1496,0
1497,0
1498,0
1499,1
1500,0
1501,1
1502,0
1503,0
1504,1
1505,1
1506,0
1507,0
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,0
1516,1
1517,1
1518,0
1519,1
1520,1
1521,1
1522,0
1523,0
1524,0
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,0
1532,0
1533,0
1534,1
1535,0
1536,1
1537,1
1538,0
1539,1
1540,0
1541,1
1542,0
1543,0
1544,0
1545,1
1546,1
1547,0
1548,0
1549,1
1550,1
1551,1
1552,0
1553,1
1554,1
1555,0
1556,0
1557,0
1558,1
1559,0
1560,0
1561,1
1562,0
1563,0
1564,1
1565,1
1566,0
1567,0
1568,1
1569,0
1570,1
1571,1
1572,0
1573,1
1574,1
1575,1
1576,1
1577,0
1578,0
1579,1
1580,1
1581,1
1582,1
1583,0
1584,0
1585,1
1586,1
1587,1
1588,1
1589,0
1590,0
1591,0
1592,1
1593,0
1594,1
1595,0
1596,0
1597,1
1598,0
1599,1
1600,1
1601,1
1602,1
1603,1
1604,1
1605,0
1606,1
1607,1
1608,0
1609,0
1610,1
1611,1
1612,0
1613,0
1614,1
1615,1
1616,1
1617,0
1618,0
1619,1
1620,0
1621,1
1622,1
1623,1
1624,1
1625,0
1626,0
1627,0
1628,1
1629,1
1630,1
1631,0
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,0
1639,1
1640,0
1641,1
1642,0
1643,1
1644,1
1645,1
1646,0
1647,1
1648,1
1649,1
1650,0
1651,0
1652,0
1653,0
1654,0
1655,1
1656,0
1657,0
1658,1
1659,1
1660,1
1661,0
1662,0
1663,1
1664,1
1665,1
1666,0
1667,0
1668,0
1669,1
1670,0
1671,0
1672,1
1673,0
1674,0
1675,1
1676,1
1677,1
1678,1
1679,0
1680,0
1681,0
1682,1
1683,0
1684,0
1685,1
1686,0
1687,1
1688,1
1689,1
1690,1
1691,0
1692,1
1693,0
1694,0
1695,0
1696,0
1697,1
1698,1
1699,0
1700,1
1701,0
1702,1
1703,0
1704,1
1705,0
1706,0
1707,1
1708,0
1709,0
1710,1
1711,0
1712,1
1713,1
1714,1
1715,1
1716,0
1717,0
1718,1
1719,0
1720,1
1721,1
1722,1
1723,0
1724,0
1725,1
1726,1
1727,1
1728,0
1729,0
1730,1
1731,1
1732,1
1733,0
1734,0
1735,1
1736,0
1737,1
1738,1
1739,1
1740,1
1741,0
1742,1
1743,0
1744,1
1745,1
1746,0
1747,1
1748,0
1749,0
1750,1
1751,1
1752,1
1753,1
1754,0
1755,1
1756,0
1757,0
1758,1
1759,0
1760,0
1761,0
1762,1
1763,1
1764,1
1765,0
1766,0
1767,0
1768,0
1769,0
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,0
1777,0
1778,1
1779,1
1780,1
1781,1
1782,0
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,0
1791,1
1792,1
1793,0
1794,1
1795,1
1796,1
1797,0
1798,1
1799,1
1800,1
1801,0
1802,1
1803,1
1804,0
1805,0
1806,0
1807,1
1808,1
1809,0
1810,0
1811,0
1812,1
1813,1
1814,1
1815,0
1816,1
1817,1
1818,1
1819,0
1820,0
1821,0
1822,0
1823,1
1824,0
1825,1
1826,0
1827,0
1828,1
1829,0
1830,1
1831,0
1832,0
1833,0
1834,0
1835,1
1836,1
1837,1
1838,1
1839,1
1840,0
1841,1
1842,1
1843,1
1844,0
1845,1
1846,1
1847,0
1848,0
1849,0
1850,0
1851,1
1852,1
1853,0
1854,0
1855,1
1856,0
1857,1
1858,1
1859,1
1860,0
1861,0
1862,0
1863,1
1864,0
1865,0
1866,1
1867,1
1868,1
1869,0
1870,0
1871,1
1872,0
1873,1
1874,0
1875,1
1876,1
1877,1
1878,1
1879,1
1880,0
1881,0
1882,1
1883,0
1884,1
1885,1
1886,1
1887,1
1888,0
1889,1
1890,1
1891,0
1892,1
1893,1
1894,0
1895,0
1896,0
1897,1
1898,0
1899,1
1900,0
1901,1
1902,0
1903,1
1904,1
1905,0
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1917,0
1918,0
1919,0
1920,0
1921,0
1922,1
1923,1
1924,0
1925,0
1926,1
1927,0
1928,1
1929,1
1930,1
1931,1
1932,1
1933,0
1934,1
1935,0
1936,1
1937,1
1938,1
1939,0
1940,0
1941,1
1942,1
1943,1
1944,0
1945,1
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,1
1953,1
1954,1
1955,1
1956,0
1957,1
1958,0
1959,1
1960,1
1961,1
1962,0
1963,1
1964,0
1965,0
1966,0
1967,1
1968,0
1969,1
1970,0
1971,1
1972,0
1973,1
1974,0
1975,0
1976,0
1977,0
1978,0
1979,1
1980,1
1981,0
1982,0
1983,1
1984,1
1985,0
1986,0
1987,1
1988,0
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,0
1996,0
1997,0
1998,1
1999,1
2000,1
2001,1
2002,0
2003,0
2004,1
2005,0
2006,0
2007,0
2008,1
2009,0
2010,0
2011,1
2012,0
2013,0
2014,0
2015,1
2016,1
2017,1
2018,0
2019,1
2020,0
2021,0
2022,0
2023,1
2024,0
2025,1
2026,0
2027,1
2028,1
2029,1
2030,0
2031,1
2032,1
2033,0
2034,1
2035,1
2036,0
2037,1
2038,1
2039,0
2040,1
2041,1
2042,0
2043,1
2044,1
2045,0
2046,1
2047,0
2048,0
2049,1
2050,1
2051,0
2052,1
2053,1
2054,0
2055,1
2056,1
2057,1
2058,0
2059,1
2060,1
2061,1
2062,1
2063,1
2064,0
2065,0
2066,1
2067,1
2068,0
2069,1
2070,1
2071,1
2072,0
2073,0
2074,0
2075,0
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,0
2083,1
2084,0
2085,1
2086,0
2087,1
2088,1
2089,0
2090,1
2091,1
2092,1
2093,0
2094,1
2095,0
2096,1
2097,1
2098,1
2099,1
2100,1
2101,0
2102,1
2103,0
2104,0
2105,1
2106,1
2107,1
2108,1
2109,0
2110,0
2111,0
2112,1
2113,0
2114,1
2115,1
2116,1
2117,0
2118,1
2119,1
2120,0
2121,1
2122,1
2123,1
2124,1
2125,0
2126,1
2127,0
2128,0
2129,1
2130,0
2131,0
2132,1
2133,1
2134,0
2135,1
2136,0
2137,1
2138,0
2139,0
2140,0
2141,0
2142,1
2143,0
2144,0
2145,1
2146,0
2147,1
2148,1
2149,0
2150,1
2151,1
2152,1
2153,1
2154,1
2155,0
2156,0
2157,0
2158,1
2159,0
2160,1
2161,0
2162,1
2163,1
2164,0
2165,1
2166,0
2167,1
2168,1
2169,1
2170,1
2171,0
2172,1
2173,1
2174,1
2175,0
2176,1
2177,0
2178,1
2179,1
2180,0
2181,1
2182,0
2183,1
2184,1
2185,1
2186,1
2187,1
2188,0
2189,1
2190,0
2191,0
2192,0
2193,1
2194,1
2195,1
2196,1
2197,0
2198,1
2199,1
2200,0
2201,0
2202,0
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,0
2214,1
2215,0
2216,1
2217,0
2218,1
2219,1
2220,0
2221,1
2222,0
2223,1
2224,0
2225,1
2226,1
2227,1
2228,1
2229,1
2230,0
2231,0
2232,1
2233,1
2234,0
2235,0
2236,0
2237,0
2238,0
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,0
2251,0
2252,0
2253,1
2254,0
2255,1
2256,1
2257,1
2258,0
2259,1
2260,1
2261,1
2262,0
2263,1
2264,0
2265,1
2266,0
2267,1
2268,0
2269,0
2270,1
2271,1
2272,0
2273,1
2274,0
2275,0
2276,0
2277,0
2278,1
2279,1
2280,1
2281,0
2282,0
2283,1
2284,0
2285,1
2286,0
2287,1
2288,0
2289,1
2290,0
2291,1
2292,0
2293,1
2294,0
2295,1
2296,1
2297,0
2298,0
2299,1
2300,0
2301,1
2302,1
2303,1
2304,0
2305,1
2306,0
2307,1
2308,0
2309,0
2310,0
2311,0
2312,1
2313,0
2314,1
2315,0
2316,1
2317,1
2318,1
2319,1
2320,0
2321,0
2322,1
2323,1
2324,0
2325,1
2326,1
2327,0
2328,0
2329,1
2330,1
2331,0
2332,0
2333,0
2334,0
2335,0
2336,1
2337,1
2338,1
2339,0
2340,0
2341,1
2342,0
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,0
2350,1
2351,1
2352,1
2353,0
2354,1
2355,1
2356,0
2357,1
2358,0
2359,1
2360,0
2361,0
2362,0
2363,0
2364,0
2365,1
2366,1
2367,0
2368,0
2369,1
2370,0
2371,0
2372,0
2373,1
2374,1
2375,0
2376,1
2377,0
2378,0
2379,1
2380,0
2381,1
2382,1
2383,1
2384,1
2385,1
2386,0
2387,0
2388,1
2389,0
2390,1
2391,1
2392,1
2393,0
2394,0
2395,0
2396,1
2397,1
2398,1
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,1
2406,0
2407,0
2408,1
2409,0
2410,1
2411,0
2412,0
2413,1
2414,1
2415,0
2416,0
2417,1
2418,0
2419,1
2420,1
2421,0
2422,1
2423,1
2424,0
2425,1
2426,0
2427,0
2428,1
2429,1
2430,0
2431,1
2432,1
2433,1
2434,1
2435,0
2436,0
2437,1
2438,1
2439,0
2440,0
2441,0
2442,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2449,0
2450,1
2451,1
2452,1
2453,1
2454,0
2455,0
2456,0
2457,0
2458,1
2459,0
2460,0
2461,1
2462,1
2463,1
2464,1
2465,1
2466,1
2467,1
2468,1
2469,1
2470,1
2471,1
2472,0
2473,0
2474,1
2475,0
2476,1
2477,1
2478,1
2479,0
2480,0
2481,0
2482,1
2483,0
2484,1
2485,1
2486,1
2487,1
2488,0
2489,0
2490,0
2491,1
2492,1
2493,1
2494,1
2495,1
2496,0
2497,1
2498,1
2499,1
2500,0
2501,0
2502,1
2503,1
2504,1
2505,1
2506,0
2507,0
2508,1
2509,1
2510,1
2511,0
2512,0
2513,1
2514,1
2515,0
2516,1
2517,0
2518,0
2519,1
2520,1
2521,1
2522,0
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,0
2530,0
2531,0
2532,0
2533,1
2534,1
2535,1
2536,0
2537,1
2538,0
2539,0
2540,0
2541,1
2542,1
2543,1
2544,1
2545,0
2546,1
2547,0
2548,1
2549,1
2550,1
2551,1
2552,1
2553,1
2554,1
2555,0
2556,0
2557,1
2558,1
2559,0
2560,0
2561,0
2562,0
2563,0
2564,1
2565,0
2566,1
2567,1
2568,0
2569,1
2570,0
2571,0
2572,1
2573,0
2574,0
2575,1
2576,1
2577,1
2578,1
2579,1
2580,0
2581,1
2582,1
2583,1
2584,0
2585,1
2586,1
2587,0
2588,0
2589,0
2590,1
2591,0
2592,1
2593,0
2594,0
2595,1
2596,1
2597,0
2598,1
2599,1
2600,0
2601,1
2602,1
2603,1
2604,1
2605,1
2606,1
2607,0
2608,0
2609,1
2610,0
2611,0
2612,1
2613,0
2614,0
2615,1
2616,1
2617,0
2618,0
2619,0
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,0
2628,1
2629,0
2630,1
2631,1
2632,0
2633,1
2634,1
2635,1
2636,1
2637,1
2638,1
2639,1
2640,0
2641,0
2642,0
2643,1
2644,0
2645,1
2646,1
2647,1
2648,0
2649,0
2650,0
2651,0
2652,0
2653,1
2654,0
2655,1
2656,1
2657,1
2658,1
2659,1
2660,0
2661,0
2662,0
2663,1
2664,1
2665,0
2666,0
2667,1
2668,1
2669,1
2670,1
2671,0
2672,1
2673,0
2674,1
2675,0
2676,1
2677,0
2678,0
2679,1
2680,0
2681,1
2682,1
2683,1
2684,1
2685,1
2686,0
2687,0
2688,1
2689,1
2690,1
2691,0
2692,1
2693,1
2694,1
2695,1
2696,0
2697,1
2698,0
2699,0
2700,0
2701,1
2702,1
2703,0
2704,0
2705,1
2706,1
2707,0
2708,0
2709,1
2710,1
2711,0
2712,0
2713,0
2714,1
2715,0
2716,1
2717,0
2718,1
2719,1
2720,0
2721,0
2722,1
2723,1
2724,1
2725,0
2726,0
2727,1
2728,0
2729,1
2730,1
2731,1
2732,0
2733,1
2734,1
2735,0
2736,0
2737,1
2738,0
2739,0
2740,1
2741,0
2742,0
2743,1
2744,0
2745,1
2746,0
2747,0
2748,1
2749,0
2750,1
2751,0
2752,1
2753,0
2754,1
2755,0
2756,0
2757,1
2758,1
2759,1
2760,1
2761,0
2762,0
2763,1
2764,1
2765,1
2766,0
2767,1
2768,1
2769,0
2770,0
2771,1
2772,0
2773,0
2774,1
2775,1
2776,1
2777,1
2778,0
2779,1
2780,1
2781,1
2782,0
2783,1
2784,0
2785,1
2786,0
2787,0
2788,0
2789,0
2790,1
2791,0
2792,1
2793,0
2794,0
2795,0
2796,1
2797,1
2798,1
2799,1
2800,1
2801,1
2802,1
2803,1
2804,0
2805,0
2806,0
2807,0
2808,1
2809,1
2810,0
2811,1
2812,0
2813,0
2814,0
2815,1
2816,0
2817,1
2818,1
2819,1
2820,0
2821,1
2822,1
2823,0
2824,1
2825,0
2826,0
2827,0
2828,0
2829,0
2830,1
2831,0
2832,1
2833,1
2834,0
2835,0
2836,1
2837,0
2838,1
2839,1
2840,0
2841,1
2842,0
2843,1
2844,0
2845,0
2846,0
2847,0
2848,0
2849,0
2850,0
2851,0
2852,0
2853,1
2854,0
2855,0
2856,0
2857,1
2858,1
2859,0
2860,0
2861,1
2862,0
2863,0
2864,0
2865,0
2866,1
2867,0
2868,1
2869,0
2870,1
2871,0
2872,0
2873,1
2874,0
2875,0
2876,0
2877,0
2878,0
2879,0
2880,1
2881,1
2882,1
2883,0
2884,1
2885,0
2886,0
2887,1
2888,1
2889,1
2890,0
2891,1
2892,0
2893,0
2894,1
2895,0
2896,0
2897,1
2898,0
2899,0
2900,1
2901,1
2902,1
2903,1
2904,1
2905,0
2906,0
2907,1
2908,1
2909,1
2910,1
2911,0
2912,0
2913,1
2914,1
2915,1
2916,1
2917,0
2918,0
2919,1
2920,0
2921,0
2922,1
2923,1
2924,1
2925,1
2926,0
2927,0
2928,1
2929,1
2930,0
2931,0
2932,1
2933,1
2934,0
2935,0
2936,1
2937,0
2938,1
2939,0
2940,1
2941,0
2942,1
2943,1
2944,1
2945,0
2946,1
2947,1
2948,1
2949,1
2950,0
2951,1
2952,1
2953,0
2954,0
2955,1
2956,0
2957,1
2958,1
2959,1
2960,1
2961,1
2962,0
2963,1
2964,0
2965,1
2966,0
2967,1
2968,1
2969,1
2970,0
2971,1
2972,1
2973,0
2974,1
2975,0
2976,0
2977,0
2978,0
2979,1
2980,1
2981,1
2982,1
2983,1
2984,0
2985,0
2986,0
2987,0
2988,1
2989,0
2990,0
2991,1
2992,1
2993,1
2994,1
2995,1
2996,1
2997,1
